"selected_quarter","fast_ma","ma_diff","signal_estimator","window_regime","treshold_regime","instrument_name","group_data","p_val","tr_cost","stats_mm","stats_mr","stats_fl"
"2022_Q1",83,7,"median",85,0.7786,"SP",1,50,12,-10.3449809819994,-2.50152163524787,-10.6456322430043
"2022_Q3",83,7,"median",85,0.7786,"SP",1,50,12,-6.02770511855639,-8.06725862781951,-8.75155126410027
"2022_Q4",83,7,"median",85,0.7786,"SP",1,50,12,0,-11.9669809925374,-1.4531369503772
"2023_Q2",83,7,"median",85,0.7786,"SP",1,50,12,-11.4343237193434,13.8417045544366,-13.5241079709663
"2023_Q4",83,7,"median",85,0.7786,"SP",1,50,12,0,-11.9943313087402,-2.31849187628921
"2024_Q1",83,7,"median",85,0.7786,"SP",1,50,12,-5.12991816783507,-10.9824008808135,-7.67073049264111
"2024_Q2",83,7,"median",85,0.7786,"SP",1,50,12,7.83658530146839,-12.1791914696526,8.32902144187786
"2022_Q1",8,22,"median",92,0.7968,"SP",1,50,12,-10.1718275120142,-11.3650201247006,-9.71113371907026
"2022_Q3",8,22,"median",92,0.7968,"SP",1,50,12,-7.83189724311697,-14.1378365291006,-11.0800333528539
"2022_Q4",8,22,"median",92,0.7968,"SP",1,50,12,-10.666981437219,-10.9525345614878,-10.8268989924157
"2023_Q2",8,22,"median",92,0.7968,"SP",1,50,12,-10.4452904063774,-9.93340385111263,-13.0697457818725
"2023_Q4",8,22,"median",92,0.7968,"SP",1,50,12,-9.32951090716408,-13.9616537432426,-10.4410995744937
"2024_Q1",8,22,"median",92,0.7968,"SP",1,50,12,-11.4886373417531,-12.6342840399628,-12.5248340586514
"2024_Q2",8,22,"median",92,0.7968,"SP",1,50,12,-9.75472750971922,-13.0979930158617,-11.0198688626122
"2022_Q1",95,24,"median",56,0.35334,"SP",1,50,12,11.2998988061241,-11.3849380105308,11.1435754938607
"2022_Q3",95,24,"median",56,0.35334,"SP",1,50,12,-2.59503097964493,-4.39562165852139,-2.68953942982281
"2022_Q4",95,24,"median",56,0.35334,"SP",1,50,12,0.497117853323097,-9.05383938504614,0.337165121816781
"2023_Q2",95,24,"median",56,0.35334,"SP",1,50,12,-10.500848691344,10.8643852358595,-13.0689522535811
"2023_Q4",95,24,"median",56,0.35334,"SP",1,50,12,-9.99364189271122,0,-10.0465744925067
"2024_Q1",95,24,"median",56,0.35334,"SP",1,50,12,-0.0686117424226001,-8.73401998658145,-0.299828808553812
"2024_Q2",95,24,"median",56,0.35334,"SP",1,50,12,0,-8.02333345914512,0
"2022_Q1",76,63,"median",55,0.55159,"SP",1,50,12,9.85257277273661,-10.4912003246946,12.2907976412902
"2022_Q3",76,63,"median",55,0.55159,"SP",1,50,12,-5.14675280806004,0,-4.45696412817131
"2022_Q4",76,63,"median",55,0.55159,"SP",1,50,12,2.27922861567516,-7.25070372634942,0.871326083293273
"2023_Q2",76,63,"median",55,0.55159,"SP",1,50,12,-9.19773605317085,3.97651420591439,-12.8884078536992
"2023_Q4",76,63,"median",55,0.55159,"SP",1,50,12,0,-4.69263070524031,-2.56591803302757
"2024_Q1",76,63,"median",55,0.55159,"SP",1,50,12,-0.404731877192885,-5.34563818880592,-0.576064595698374
"2024_Q2",76,63,"median",55,0.55159,"SP",1,50,12,17.9440232803891,-10.1958809120389,17.6702412977156
"2022_Q1",8,28,"median",56,0.01903,"SP",1,50,12,-3.38384035555369,-13.3809511303334,-3.43519456728204
"2022_Q3",8,28,"median",56,0.01903,"SP",1,50,12,-5.01657563871396,-13.9854702317926,-6.11563770005344
"2022_Q4",8,28,"median",56,0.01903,"SP",1,50,12,-8.82242126195158,-10.6838764713601,-9.16691235519514
"2023_Q2",8,28,"median",56,0.01903,"SP",1,50,12,-8.26410543040833,-9.02527135951408,-13.4006325220577
"2023_Q4",8,28,"median",56,0.01903,"SP",1,50,12,-7.58268287069943,-13.0930396144704,-7.0304391171768
"2024_Q1",8,28,"median",56,0.01903,"SP",1,50,12,-12.959059868968,-11.0250082920587,-13.0272031001523
"2024_Q2",8,28,"median",56,0.01903,"SP",1,50,12,-6.58863259264734,-13.2401612778759,-7.2179201549085
"2022_Q1",62,33,"median",66,0.41606,"SP",1,50,12,-0.223395859143992,-7.02483637725523,-0.26960479200931
"2022_Q3",62,33,"median",66,0.41606,"SP",1,50,12,-1.32384736551516,-6.01378721136519,-0.975739270761188
"2022_Q4",62,33,"median",66,0.41606,"SP",1,50,12,6.25182789068533,-9.61794448766824,6.00047491257384
"2023_Q2",62,33,"median",66,0.41606,"SP",1,50,12,-10.2556972266684,4.18480359175789,-12.220403535023
"2023_Q4",62,33,"median",66,0.41606,"SP",1,50,12,0,-7.95043663056256,0
"2024_Q1",62,33,"median",66,0.41606,"SP",1,50,12,-7.05996937669206,-4.261723910765,-7.33222853886225
"2024_Q2",62,33,"median",66,0.41606,"SP",1,50,12,-3.76590677544625,-6.77396375658384,-3.96191387101994
"2022_Q1",10,82,"median",92,0.27533,"SP",1,50,12,17.8151265104086,-13.5305465399547,17.1935276017216
"2022_Q3",10,82,"median",92,0.27533,"SP",1,50,12,-2.72859513833138,-6.03934665975889,-2.82441524677691
"2022_Q4",10,82,"median",92,0.27533,"SP",1,50,12,0,-10.0812823546276,-0.0520680046380605
"2023_Q2",10,82,"median",92,0.27533,"SP",1,50,12,-4.51322554894453,-7.71454107916023,-5.998039315507
"2023_Q4",10,82,"median",92,0.27533,"SP",1,50,12,5.97342685853112,-12.3009462624575,5.54159527192377
"2024_Q1",10,82,"median",92,0.27533,"SP",1,50,12,-7.46014901791056,-7.5283094678384,-7.58902791691109
