"selected_quarter","fast_ma","ma_diff","signal_estimator","window_regime","treshold_regime","volat_param","m_exit","m_diff","instrument_name","group_data","p_val","tr_cost","stats_mm","stats_mr","stats_fl"
"2022_Q1",98,69,"median",42,0.5423,83,2.62712,2.99463,"SP",1,50,12,0,0,0
"2022_Q3",98,69,"median",42,0.5423,83,2.62712,2.99463,"SP",1,50,12,0,0,0
"2022_Q4",98,69,"median",42,0.5423,83,2.62712,2.99463,"SP",1,50,12,0,0,0
"2023_Q2",98,69,"median",42,0.5423,83,2.62712,2.99463,"SP",1,50,12,-2.01231167057889,2.94779694156865,-4.54798679458584
"2023_Q4",98,69,"median",42,0.5423,83,2.62712,2.99463,"SP",1,50,12,0,0,0
"2024_Q1",98,69,"median",42,0.5423,83,2.62712,2.99463,"SP",1,50,12,0,0,0
"2024_Q2",98,69,"median",42,0.5423,83,2.62712,2.99463,"SP",1,50,12,0,0,0
"2022_Q1",74,39,"median",83,0.35815,39,0.56204,2.53717,"SP",1,50,12,9.93110314482156,-8.81276293731402,9.93110314482156
"2022_Q3",74,39,"median",83,0.35815,39,0.56204,2.53717,"SP",1,50,12,-1.5346958158181,0,-1.5346958158181
"2022_Q4",74,39,"median",83,0.35815,39,0.56204,2.53717,"SP",1,50,12,-1.68844602515182,0,-1.68844602515182
"2023_Q2",74,39,"median",83,0.35815,39,0.56204,2.53717,"SP",1,50,12,-0.917463868089647,-3.93457360061537,-1.54986425278111
"2023_Q4",74,39,"median",83,0.35815,39,0.56204,2.53717,"SP",1,50,12,-0.828006379287032,0,-0.828006379287032
"2024_Q1",74,39,"median",83,0.35815,39,0.56204,2.53717,"SP",1,50,12,-1.66977265022548,0,-1.66977265022548
"2024_Q2",74,39,"median",83,0.35815,39,0.56204,2.53717,"SP",1,50,12,6.75355240991368,-4.76106756792372,6.26872128398139
"2022_Q1",58,43,"mean",28,0.25655,18,1.14928,1.18182,"SP",1,50,12,55.4429213339035,-13.7191681057817,51.2377669311
"2022_Q3",58,43,"mean",28,0.25655,18,1.14928,1.18182,"SP",1,50,12,3.95460925787591,-9.88002406406571,3.73063017607778
"2022_Q4",58,43,"mean",28,0.25655,18,1.14928,1.18182,"SP",1,50,12,1.07321132035101,-7.64377954866079,4.00199662708524
"2023_Q2",58,43,"mean",28,0.25655,18,1.14928,1.18182,"SP",1,50,12,15.4446773880185,-9.30251443333587,-4.21903820129226
"2023_Q4",58,43,"mean",28,0.25655,18,1.14928,1.18182,"SP",1,50,12,1.14925225901984,-5.98279383735494,0.0759665497906939
"2024_Q1",58,43,"mean",28,0.25655,18,1.14928,1.18182,"SP",1,50,12,-0.74090919286259,-2.65457979332821,-1.11101474018715
"2024_Q2",58,43,"mean",28,0.25655,18,1.14928,1.18182,"SP",1,50,12,0,-6.1549771632322,0
"2022_Q1",43,98,"median",50,0.39443,54,1.08799,2.59921,"SP",1,50,12,4.30123598384778,-6.00678936663238,3.22759610235698
"2022_Q3",43,98,"median",50,0.39443,54,1.08799,2.59921,"SP",1,50,12,2.86582799209932,-4.30976783480647,2.86582799209932
"2022_Q4",43,98,"median",50,0.39443,54,1.08799,2.59921,"SP",1,50,12,0.217625057165211,-2.8117366418646,0.217625057165211
"2023_Q2",43,98,"median",50,0.39443,54,1.08799,2.59921,"SP",1,50,12,-2.43288343995897,0,-7.24034075175404
"2023_Q4",43,98,"median",50,0.39443,54,1.08799,2.59921,"SP",1,50,12,-7.08995565814655,4.74871438123176,-7.10628036716918
"2024_Q1",43,98,"median",50,0.39443,54,1.08799,2.59921,"SP",1,50,12,-2.13669460234023,0,-2.44906968138538
"2024_Q2",43,98,"median",50,0.39443,54,1.08799,2.59921,"SP",1,50,12,24.7954196432409,-7.80838781145988,23.5038299687727
"2022_Q1",30,89,"mean",82,0.08172,78,1.40052,0.1976,"SP",1,50,12,0.0564447595392239,-3.33907098700752,0.0147989602474739
"2022_Q3",30,89,"mean",82,0.08172,78,1.40052,0.1976,"SP",1,50,12,2.18467657025313,-5.10493882037793,2.07907721219134
"2022_Q4",30,89,"mean",82,0.08172,78,1.40052,0.1976,"SP",1,50,12,27.5816939042728,-11.2675517560907,26.7506517931592
"2023_Q2",30,89,"mean",82,0.08172,78,1.40052,0.1976,"SP",1,50,12,-0.419421398023026,-2.62815658720095,-2.96435554695527
"2023_Q4",30,89,"mean",82,0.08172,78,1.40052,0.1976,"SP",1,50,12,-8.87404799404093,12.8478929236975,-8.94662196145544
"2024_Q1",30,89,"mean",82,0.08172,78,1.40052,0.1976,"SP",1,50,12,1.13578447270615,-4.32797314197981,0.579777349790804
"2024_Q2",30,89,"mean",82,0.08172,78,1.40052,0.1976,"SP",1,50,12,21.8531238517927,-8.06236581798871,21.2854092278068
"2022_Q1",33,62,"median",37,0.17077,23,2.96839,2.02355,"SP",1,50,12,29.3326324093881,-11.4414141494891,29.192239070245
"2022_Q3",33,62,"median",37,0.17077,23,2.96839,2.02355,"SP",1,50,12,7.63581264976082,-7.40913777433832,7.63581264976082
"2022_Q4",33,62,"median",37,0.17077,23,2.96839,2.02355,"SP",1,50,12,-1.78028394566259,0,-1.78028394566259
"2023_Q2",33,62,"median",37,0.17077,23,2.96839,2.02355,"SP",1,50,12,5.01299588979684,-6.29216212353381,-6.43467363251957
"2023_Q4",33,62,"median",37,0.17077,23,2.96839,2.02355,"SP",1,50,12,2.69795640347801,-5.57804844605732,2.64588155568125
"2024_Q1",33,62,"median",37,0.17077,23,2.96839,2.02355,"SP",1,50,12,-1.27071973228889,-0.179272832756381,-1.19614711398643
"2024_Q2",33,62,"median",37,0.17077,23,2.96839,2.02355,"SP",1,50,12,2.76663530470054,-5.29548630110155,2.52058837992855
"2022_Q1",100,78,"mean",65,0.4443,35,2.12048,1.52241,"SP",1,50,12,6.64472928182782,-6.32854018188506,6.38363341920029
"2022_Q3",100,78,"mean",65,0.4443,35,2.12048,1.52241,"SP",1,50,12,32.6933573298412,-9.01455142534622,32.1512717148708
"2022_Q4",100,78,"mean",65,0.4443,35,2.12048,1.52241,"SP",1,50,12,-3.4439197909108,1.9030181744924,-3.54897313214868
"2023_Q2",100,78,"mean",65,0.4443,35,2.12048,1.52241,"SP",1,50,12,7.56981943328579,-8.05034902429966,-1.17098706080727
"2023_Q4",100,78,"mean",65,0.4443,35,2.12048,1.52241,"SP",1,50,12,-3.46346840711086,1.26056988699609,-3.55513493826285
"2024_Q1",100,78,"mean",65,0.4443,35,2.12048,1.52241,"SP",1,50,12,-4.15793681977734,5.67290052720446,-4.37448370227769
"2024_Q2",100,78,"mean",65,0.4443,35,2.12048,1.52241,"SP",1,50,12,-3.96930358466025,4.0351801482105,-4.08147337204484
"2022_Q1",53,11,"mean",85,0.26364,48,0.51442,0.84036,"SP",1,50,12,31.8210538888276,-2.53589062694099,15.7240407428468
"2022_Q3",53,11,"mean",85,0.26364,48,0.51442,0.84036,"SP",1,50,12,0,0,0
"2022_Q4",53,11,"mean",85,0.26364,48,0.51442,0.84036,"SP",1,50,12,0,0,0
"2023_Q2",53,11,"mean",85,0.26364,48,0.51442,0.84036,"SP",1,50,12,-4.94545174040828,-1.00566221162218,-6.71079107802394
"2023_Q4",53,11,"mean",85,0.26364,48,0.51442,0.84036,"SP",1,50,12,0,-0.511932939299292,0
"2024_Q1",53,11,"mean",85,0.26364,48,0.51442,0.84036,"SP",1,50,12,0,0,0
"2024_Q2",53,11,"mean",85,0.26364,48,0.51442,0.84036,"SP",1,50,12,0,0,0
"2022_Q1",74,78,"mean",76,0.26724,4,0.84146,0.62053,"SP",1,50,12,34.7464193272675,-14.2058141826903,34.4283553412375
"2022_Q3",74,78,"mean",76,0.26724,4,0.84146,0.62053,"SP",1,50,12,-1.73225679401297,-1.46154457969624,-1.78506071256683
"2022_Q4",74,78,"mean",76,0.26724,4,0.84146,0.62053,"SP",1,50,12,21.7367639782908,-10.1048221988434,21.5788966422216
"2023_Q2",74,78,"mean",76,0.26724,4,0.84146,0.62053,"SP",1,50,12,-2.26479261666921,-3.08119320785455,-6.49896756104371
"2023_Q4",74,78,"mean",76,0.26724,4,0.84146,0.62053,"SP",1,50,12,-2.71089443422444,-2.44868917720035,-2.94073257733661
"2024_Q1",74,78,"mean",76,0.26724,4,0.84146,0.62053,"SP",1,50,12,-2.49659204062835,-1.4216430261497,-2.65215418563375
"2024_Q2",74,78,"mean",76,0.26724,4,0.84146,0.62053,"SP",1,50,12,12.2827040035413,-9.14808903155612,11.8043286689851
"2022_Q1",76,54,"mean",23,0.05177,87,0.60302,0.58219,"SP",1,50,12,31.0742337573624,-11.8798412005825,27.9008833012658
"2022_Q3",76,54,"mean",23,0.05177,87,0.60302,0.58219,"SP",1,50,12,9.98408160894334,-8.5040962651674,6.31348822287105
