"selected_quarter","fast_ma","ma_diff","signal_estimator","window_regime","treshold_regime","volat_param","m_","instrument_name","group_data","p_val","tr_cost","stats_mm","stats_mr","stats_fl"
"2022_Q1",81,61,"mean",52,0.07648,4,1.34841,"SP",1,50,12,26.6529774525028,-13.7728404808369,26.4097914826427
"2022_Q3",81,61,"mean",52,0.07648,4,1.34841,"SP",1,50,12,-5.3074070510479,0.800659173301267,-5.36202881107919
"2022_Q4",81,61,"mean",52,0.07648,4,1.34841,"SP",1,50,12,8.54645497364227,-9.47556730488718,8.41843857898885
"2023_Q2",81,61,"mean",52,0.07648,4,1.34841,"SP",1,50,12,-0.599132280238216,-3.52027464231828,-6.96159269244676
"2023_Q4",81,61,"mean",52,0.07648,4,1.34841,"SP",1,50,12,-7.09847082925625,0.66825709716768,-7.19536974160122
"2024_Q1",81,61,"mean",52,0.07648,4,1.34841,"SP",1,50,12,-5.44544547205553,0,-5.62040798424887
"2024_Q2",81,61,"mean",52,0.07648,4,1.34841,"SP",1,50,12,21.2470688785017,-9.7909988069733,20.3218683605653
"2022_Q1",95,87,"mean",62,0.55075,80,1.8181,"SP",1,50,12,31.3279689044885,-10.9358236422641,37.651697205423
"2022_Q3",95,87,"mean",62,0.55075,80,1.8181,"SP",1,50,12,28.8922849194376,-8.08227569438729,25.8755611524816
"2022_Q4",95,87,"mean",62,0.55075,80,1.8181,"SP",1,50,12,0.166452039876487,-2.7883349227299,0.0639943483194531
"2023_Q2",95,87,"mean",62,0.55075,80,1.8181,"SP",1,50,12,14.6985866710531,-8.17518434590719,-1.18029428785478
"2023_Q4",95,87,"mean",62,0.55075,80,1.8181,"SP",1,50,12,-1.73199710185369,0,-2.04410135637372
"2024_Q1",95,87,"mean",62,0.55075,80,1.8181,"SP",1,50,12,-5.53495742181644,3.46063529929321,-5.70725819054708
"2024_Q2",95,87,"mean",62,0.55075,80,1.8181,"SP",1,50,12,-5.33618245081701,5.06071732702942,-5.49939906116092
"2022_Q1",65,98,"median",5,0.5136,24,2.89287,"SP",1,50,12,2.69825128201934,-6.28689977391423,-15.4148763410136
"2022_Q3",65,98,"median",5,0.5136,24,2.89287,"SP",1,50,12,1.39212329359504,-3.70235810029346,-15.8816238991545
"2022_Q4",65,98,"median",5,0.5136,24,2.89287,"SP",1,50,12,-8.79270402961878,22.4933012971849,-16.1351142519702
"2023_Q2",65,98,"median",5,0.5136,24,2.89287,"SP",1,50,12,0,-4.50601437622523,-12.5086049170435
"2023_Q4",65,98,"median",5,0.5136,24,2.89287,"SP",1,50,12,-7.38926898756807,6.30034453390556,-15.9599461799499
"2024_Q1",65,98,"median",5,0.5136,24,2.89287,"SP",1,50,12,-2.68088233893853,0,-16.0435565147794
"2024_Q2",65,98,"median",5,0.5136,24,2.89287,"SP",1,50,12,-2.6588903856838,0,-16.7091828658174
"2022_Q1",96,72,"mean",80,0.05343,51,2.39,"SP",1,50,12,24.3322383333215,-9.96819323583312,23.8252769253168
"2022_Q3",96,72,"mean",80,0.05343,51,2.39,"SP",1,50,12,23.3898285696725,-8.37684830981379,23.065852590238
"2022_Q4",96,72,"mean",80,0.05343,51,2.39,"SP",1,50,12,1.07512085165547,-2.66996124933811,0.948929093508245
"2023_Q2",96,72,"mean",80,0.05343,51,2.39,"SP",1,50,12,13.4023453025044,-8.53272263415183,2.86110712967618
"2023_Q4",96,72,"mean",80,0.05343,51,2.39,"SP",1,50,12,-2.06191493804668,0,-2.21844297685978
"2024_Q1",96,72,"mean",80,0.05343,51,2.39,"SP",1,50,12,-1.87776540547559,0,-2.15483094704618
"2024_Q2",96,72,"mean",80,0.05343,51,2.39,"SP",1,50,12,-4.7517128559449,5.21726148596218,-4.93484814773609
"2022_Q1",16,10,"median",40,0.08197,58,2.79502,"SP",1,50,12,0,0,0
"2022_Q3",16,10,"median",40,0.08197,58,2.79502,"SP",1,50,12,0,0,0
"2022_Q4",16,10,"median",40,0.08197,58,2.79502,"SP",1,50,12,0,0,0
"2023_Q2",16,10,"median",40,0.08197,58,2.79502,"SP",1,50,12,0,0,0
"2023_Q4",16,10,"median",40,0.08197,58,2.79502,"SP",1,50,12,0,0,0
"2024_Q1",16,10,"median",40,0.08197,58,2.79502,"SP",1,50,12,0,0,0
"2024_Q2",16,10,"median",40,0.08197,58,2.79502,"SP",1,50,12,0,0,0
"2022_Q1",75,40,"mean",41,0.58074,11,0.77661,"SP",1,50,12,10.4238786232805,-11.5492957324368,8.22281258765314
"2022_Q3",75,40,"mean",41,0.58074,11,0.77661,"SP",1,50,12,-6.09877902618474,1.78811478719544,-4.15130253836865
"2022_Q4",75,40,"mean",41,0.58074,11,0.77661,"SP",1,50,12,3.47424084938266,-8.50064194332581,4.74045199884664
"2023_Q2",75,40,"mean",41,0.58074,11,0.77661,"SP",1,50,12,3.74187409763422,-7.9611804654831,-5.30737909040282
"2023_Q4",75,40,"mean",41,0.58074,11,0.77661,"SP",1,50,12,-5.52617349954939,-0.47852877096403,-7.01955418481962
"2024_Q1",75,40,"mean",41,0.58074,11,0.77661,"SP",1,50,12,-4.32009354131544,-0.22611705387414,-7.64043084514608
"2024_Q2",75,40,"mean",41,0.58074,11,0.77661,"SP",1,50,12,2.29991160526783,-8.36573476830977,1.43553878835674
"2022_Q1",20,42,"median",9,0.14576,6,1.54235,"SP",1,50,12,61.2453802958768,-15.0089191406075,-12.4528381371091
"2022_Q3",20,42,"median",9,0.14576,6,1.54235,"SP",1,50,12,10.5233907065925,-12.0100800926184,-8.89842839898064
"2022_Q4",20,42,"median",9,0.14576,6,1.54235,"SP",1,50,12,-2.0228889499503,-4.74104387509964,-11.2098432180402
"2023_Q2",20,42,"median",9,0.14576,6,1.54235,"SP",1,50,12,3.85824381292156,-9.73260776849597,-12.9574351614202
"2023_Q4",20,42,"median",9,0.14576,6,1.54235,"SP",1,50,12,1.81064420725327,-9.54552515158296,-13.659404854622
"2024_Q1",20,42,"median",9,0.14576,6,1.54235,"SP",1,50,12,-4.03021705254946,-3.9338836373631,-15.6538545604114
"2024_Q2",20,42,"median",9,0.14576,6,1.54235,"SP",1,50,12,2.139699863158,-9.12508189299229,-13.9348799431882
"2022_Q1",57,54,"mean",92,0.05084,87,1.08091,"SP",1,50,12,15.1896263572397,-10.32976616062,14.8419189960969
"2022_Q3",57,54,"mean",92,0.05084,87,1.08091,"SP",1,50,12,22.2134927178931,-9.72938485754647,21.9776793277668
"2022_Q4",57,54,"mean",92,0.05084,87,1.08091,"SP",1,50,12,36.307587127703,-11.316828645949,36.0188164657524
"2023_Q2",57,54,"mean",92,0.05084,87,1.08091,"SP",1,50,12,2.94033702177441,-5.64064435864543,0
"2023_Q4",57,54,"mean",92,0.05084,87,1.08091,"SP",1,50,12,-10.6208721488888,26.2550846228639,-10.6405716233166
"2024_Q1",57,54,"mean",92,0.05084,87,1.08091,"SP",1,50,12,-0.680950334453392,-0.429043010320643,-0.993774660655363
"2024_Q2",57,54,"mean",92,0.05084,87,1.08091,"SP",1,50,12,0,-1.85642883221336,0
"2022_Q1",13,19,"median",56,0.5701,60,2.53581,"SP",1,50,12,0,0,0
"2022_Q3",13,19,"median",56,0.5701,60,2.53581,"SP",1,50,12,0,0,0
"2022_Q4",13,19,"median",56,0.5701,60,2.53581,"SP",1,50,12,-1.99021691588704,3.83772947963595,-1.99021691588704
"2023_Q2",13,19,"median",56,0.5701,60,2.53581,"SP",1,50,12,-1.94741128467208,-0.000942005761418805,-4.19164220982434
"2023_Q4",13,19,"median",56,0.5701,60,2.53581,"SP",1,50,12,0,0,0
"2024_Q1",13,19,"median",56,0.5701,60,2.53581,"SP",1,50,12,0,NA,0
"2024_Q2",13,19,"median",56,0.5701,60,2.53581,"SP",1,50,12,0,0,0
"2022_Q1",73,100,"median",31,0.15945,35,2.96471,"SP",1,50,12,0.182497645425073,-2.78569576579179,0
"2022_Q3",73,100,"median",31,0.15945,35,2.96471,"SP",1,50,12,2.89068634842216,-4.85056286811625,1.92140866479917
"2022_Q4",73,100,"median",31,0.15945,35,2.96471,"SP",1,50,12,-0.797930150286683,0,-0.236798357934738
"2023_Q2",73,100,"median",31,0.15945,35,2.96471,"SP",1,50,12,1.52985976830236,-7.15965979950719,-0.149695274450681
"2023_Q4",73,100,"median",31,0.15945,35,2.96471,"SP",1,50,12,-10.279249206995,16.7221143798544,-10.3275706836114
"2024_Q1",73,100,"median",31,0.15945,35,2.96471,"SP",1,50,12,3.41180110832921,-5.47901217953016,3.17307802233852
"2024_Q2",73,100,"median",31,0.15945,35,2.96471,"SP",1,50,12,2.63057899194766,-4.49317200874506,1.98947356863774
"2022_Q1",39,28,"mean",91,0.40241,83,0.57068,"SP",1,50,12,22.5393735622907,-11.6080603174548,22.4003729976234
"2022_Q3",39,28,"mean",91,0.40241,83,0.57068,"SP",1,50,12,1.61141806305861,-6.53098043420122,1.50355550357034
"2022_Q4",39,28,"mean",91,0.40241,83,0.57068,"SP",1,50,12,52.1610824714872,-12.0411824649049,50.7537190642803
"2023_Q2",39,28,"mean",91,0.40241,83,0.57068,"SP",1,50,12,0,-4.85973115243163,-4.48154150007814
"2023_Q4",39,28,"mean",91,0.40241,83,0.57068,"SP",1,50,12,0,-5.70101830965409,0
"2024_Q1",39,28,"mean",91,0.40241,83,0.57068,"SP",1,50,12,0,-5.69720998341329,0
